# Planck 2018 CMB Power Spectrum - EE
# Reference: https://irsa.ipac.caltech.edu/data/Planck/release_3/
# Format: ell, D_ell, uncertainty
#
# This is a simulated dataset based on Planck 2018 release characteristics
# Used for HPM validation testing
#
# ell    D_ell[muK^2]    sigma
2	100.0	35.0
3	120.0	38.0
4	145.0	40.0
5	170.0	42.0
6	195.0	44.0
7	220.0	45.0
8	245.0	46.0
9	270.0	47.0
10	295.0	48.0
15	380.0	50.0
20	450.0	52.0
25	510.0	54.0
30	560.0	55.0
40	650.0	58.0
50	720.0	60.0
60	780.0	62.0
70	830.0	64.0
80	870.0	65.0
90	900.0	66.0
100	920.0	67.0
150	1000.0	70.0
200	1050.0	72.0
250	1080.0	74.0
300	1100.0	75.0
400	1120.0	78.0
500	1130.0	80.0
600	1135.0	82.0
700	1138.0	84.0
800	1140.0	85.0
900	1142.0	87.0
1000	1143.0	88.0
1200	1144.0	90.0
1400	1145.0	92.0
1600	1145.0	94.0
1800	1145.0	95.0
2000	1145.0	96.0
2200	1144.0	97.0
2400	1143.0	98.0
2600	1142.0	99.0
2800	1141.0	100.0
3000	1140.0	102.0
